Name,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Total
Net Operating Profit,-59271.14,-119124.43,-22286.25,-22279.34,22871.61,-10588.02,-19970.79,-12849.36,-27292.52,-182647.37,-183885.21,-264391.2,-901714.02
Total Other Income,1.47,1.19,1.18,0.55,0.69,3421.19,55001.27,50001.58,1.54,25002.91,50003.26,25002.84,208439.67
    Other Income,1.47,1.19,1.18,0.55,0.69,3421.19,55001.27,50001.58,1.54,25002.91,50003.26,25002.84,208439.67
        Other Miscellaneous Income,0,0,0,0,0,3420,55000.01,50000,0,25000,50000,25000,208420.01
        Interest earned,1.47,1.19,1.18,0.55,0.69,1.19,1.26,1.58,1.54,2.91,3.26,2.84,19.66
Total Other Expenses,-19589.44,-27044.5,-34117.48,-12980.69,-17746.09,-34516.35,-64796.62,-61993.59,-48592.57,0,-6,0,-321383.33
    Other Expense,-19589.44,-27044.5,-34117.48,-12980.69,-17746.09,-34516.35,-64796.62,-61993.59,-48592.57,0,-6,0,-321383.33
        Other Miscellaneous Expense,-19589.44,-27044.5,-34117.48,-12980.69,-17746.09,-34516.35,-64796.62,-61993.59,-48592.57,0,-6,0,-321383.33
Net Other Income,-19587.97,-27043.31,-34116.3,-12980.14,-17745.4,-31095.16,-9795.35,-11992.01,-48591.03,25002.91,49997.26,25002.84,-112943.66
Net Profit,-78859.11,-146167.74,-56402.55,-35259.48,5126.21,-41683.18,-29766.14,-24841.37,-75883.55,-157644.46,-133887.95,-239388.36,-1014657.68
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Generated by myPocketCFO.com on 21:29:23 - 26/02/2025 UTC,,,,,,,,,,,,,
